nombre,direccion,ciudad,lat,lng,telefono,horario,voluntarios,donaciones
Frente al apogeo autopista sur,Cl. 57r Sur #73i - 35,Bogotá,4.5956178,-74.1721720,,Horario: hasta 11 pm 13/08 | 10:00 a.m -11:00 pm 14/08,si,
Diverplaza Centro Comercial,,Bogotá,4.7008541,-74.1150724,,Horario: 8 am a 9 pm,,si
Galería Aborigen,,Bogotá,4.6936981,-74.0320983,,Horario: 7:00 pm - 7:00 am,si,
Bomba terpel,Cra. 72 #77A-16,Bogotá,4.6933526,-74.0908498,,,si,
TIS Studios,,Bogotá,4.6312575,-74.1042926,,Horario: 13/08 10:00 am - 2:00 pm,no,si
Universidad Cooperativa de Colombia Bloque 1,,Bogotá,4.6261522,-74.0692543,,,no,si
Taller distinto,Tv. 1 #83-51,Bogotá,4.6619615,-74.0458526,,Horarios: Desde la 1:30 p.m.,no,si
Conjunto Residencial Reserva de Fontibón,,Bogotá,4.6822895,-74.1572009,,Horario: 9:00am-5:00pm,no,si
Compensar Centro de Bienestar Integral Carrera 60,,Bogotá,4.6686986,-74.0843541,,,no,si
Caracol Radio,,Bogotá,4.6504527,-74.0587544,,,no,si
Casa de la memoria,,Bogotá,4.7371336,-74.0261377,,Horario: --,no,si
Fundación El Combo,Cra. 98 #156c-10,Bogotá,4.7555736,-74.0849206,,Hora: 8:00 a.m - 5:00 p.m,no,si
Fundación MUJERES POR LA DEMOCRACIA,Ak 15 # 82-81,Bogotá,4.6681840,-74.0563368,,Horarios: 8:00AM-5:00PM,no,si
122 PLAZA APARTAHOTEL,Cra. 15a # 122-27,Bogotá,4.7012853,-74.0438086,,Horario: 8:00am-9:00pm,no,si
Vive Claro Distrito Cultural,,Bogotá,4.6493373,-74.0972212,,Horario: 8:00 a. m. a 5:00 p. m.,no,si
Power The Mov,,Bogotá,4.6465580,-74.0602934,,10:00 a.m - 6:00 p.m,no,si
Unicentro Bogotá Centro Comercial,,Bogotá,4.7021592,-74.0412813,,,no,si
JIT LOGISTICS SAS Y CEDI,,Bogotá,4.7000598,-74.1847089,,Horario: 8:00 a.m - 4:00 p.m - Sábado de 8:00 a.m hasta medio día,no,si
Casa PCN,Cl. 12d #1a-10,Bogotá,4.5990546,-74.0688650,,Horario: 9:00 a.m - 8:00 p.m,no,si
Fundación FUNSAR,,Bogotá,4.6102050,-74.1814518,,,no,si
Parque Industrial Siberia Real P.H.,,Bogotá,4.7645930,-74.1661122,,Desde las 8:00 am - 12 pm,no,si
Casa Jardín Origen,,Bogotá,4.6262752,-74.0796105,3058954149,8:00 am - 6:00 pm,no,si
Capilla Universidad Nacional,,Bogotá,4.6328818,-74.0814967,,,no,si
Fundación Juntos Se Puede,Cra 19 #100-21,Bogotá,4.6864461,-74.0521397,,Horario: Desde las 8:00 am,si,si
Estadio Nemesio Camacho El Campín (Sencia),,Bogotá,4.6459420,-74.0775185,,,si,
JAC Pastranita Sector 1,Cra. 80a # 49-8,Bogotá,4.6186974,-74.1704249,,Horario: De 10:00 am a- 8:00 pm,si,
Santuario Centro de Yoga e inmersión en hielo,,Bogotá,4.6803191,-74.0485567,,Horario: 8:00 a.m - 6:00 p.m (Hasta el sábado 15 de agosto),si,
Casita Azul,Cra 20 #45A-33,Bogotá,4.6342735,-74.0725644,,Horario: 10:00 AM . 7:00 PM,si,
Centro Comercial Centro Chía,,Chía,4.8668102,-74.0374391,,Horario: 10am a 3pm,no,si
CISAEC CAJICA,,Cajicá,4.9186013,-74.0271518,,Horario: De 8:00 a. m. a 5:00 p. m.,si,si
Cl. 161a #7 F 55,Cl. 161a #7 F 55,Bogotá,4.7371348,-74.0259251,,Horario: 8:00 am - 1:00 pm,si,
Av Cl 80 # 9-25,,Bogotá,4.6632231,-74.0525417,,Horario: sábado 15/08 8:00 am,si,
Universidad de Bogotá Jorge Tadeo Lozano,,Bogotá,4.6079304,-74.0671484,,,no,si
CRIC NACIONAL TEUSAQUILLO,,Bogotá,4.6287345,-74.0790980,,Horario: 8:00AM-6:00PM,no,si
BULEVAR SALSA BAR,,Bogotá,4.6376660,-74.0639374,,Horario: A partir de las 3 PM,no,si
La Facultad del Rayón,,Bogotá,4.6324361,-74.0722105,,Horario: --,no,si
Teatro De Garaje,,Bogotá,4.6413266,-74.0642843,,Horario: 9:00 a.m - 9:00 p.m,no,si
Fundación Catalina Muñoz buenas tardes Dios te bendiga,,Bogotá,4.6367748,-74.0717438,,8:00 am - 6:00 pm,no,si
Siembra - Café,,Bogotá,4.6441381,-74.0618383,,9:30 a.m. - 8:00 p.m.,no,si
Palacio de Los Deportes,,Bogotá,4.6553188,-74.0840584,,,si,
Cra. 56 #79-64,Cra. 56 #79-64,Bogotá,4.6764110,-74.0738673,3134872895,Horarios: 13/08 9:00-10:00 pm 14/08 desde las 7:00am,si,
Museo del Viernes Negro de Colombia Asociación Afrocultural Neftalí Mosquera AFNEMO.,,Bogotá,4.5781750,-74.0955850,,Horario: 8:00 a.m - 9:00 p.m (Hasta el domingo 16 de agosto),si,
Nuestro Bogotá Centro Comercial,,Bogotá,4.6835010,-74.1162239,,,no,si
Cra. 14 #83-53,Cra. 14 #83-53,Bogotá,4.6686745,-74.0548393,,"Horario: 9:00 am- 9:00 p.m Viernes 14, sabado 15 y domingo 16",si,
Centro Comercial Multiplaza,,Bogotá,4.6522711,-74.1261631,,2:00 p.m. a 9:00 p.m.,no,si
Cl. 92 #10-21,Cl. 92 #10-21,Bogotá,4.6731696,-74.0475401,,,no,si
Ak Carrera 24 # 73-38,,Bogotá,4.6641368,-74.0662797,,,si,
Conjunto Santa Mónica club house,Cl. 22b #68c-41,Bogotá,4.6507239,-74.1125874,,,si,
Cra. 52c #43-45,Cra. 52c #43-45,Bogotá,4.5957846,-74.1359957,,,si,
JOYLAND JARDİN INFANTIL,Cra. 32 #25A-48,Bogotá,4.6273373,-74.0837955,,Horario: 9:30am a 9:00 p.m,si,
Cuerpo de bomberos Mosquera,Cl. 2 #5-67,Mosquera,4.7070441,-74.2334993,,Horario: Desde 4:30pm,si,
Piso 13 edificio Cavipetrol,Kr 13 #37 43,Bogotá,4.6256190,-74.0676073,,,si,
Agrocampo,,Bogotá,4.6612878,-74.0622090,,Horario: 8:00 am - 5:00 pm,si,
Movimiento Ambientalista Colombiano,Cra. 14A # 112-79,Bogotá,4.6954803,-74.0419029,,,,
Ak 9 #141-55,Ak 9 #141-55,Bogotá,4.7194136,-74.0326382,,7:00 a.m - 11:00 p.m,,
Dg. 79b #62-53,Dg. 79b #62-53,Bogotá,4.6796957,-74.0772732,,,,
Parque de los Hippies,,Bogotá,4.6454285,-74.0619544,,,,
Cra. 10 # 12-32,Cra. 10 # 12-32,Zipaquirá,5.0287398,-73.9992993,,,,
Banco de Ropa Corporación Organización El Minuto de Dios,,Bogotá,4.7021670,-74.0899547,,8:00 a.m - 4:00 p.m,no,
Centro Comercial Gran Estación,,Bogotá,4.6470895,-74.1014769,,Horario: Mañana a partir de las 7:00 pm,no,
